SETTLEMENTDATE,TOTALDEMAND_VIC,TOTALDEMAND_NSW,TOTALDEMAND_QLD,TOTALDEMAND_SA,TOTALDEMAND_TAS
01-01-2020 00:30,4091.538374,7120.497238,5967.233644,1386.453782,928.0097043
01-01-2020 01:00,3998.152752,6822.53447,5866.191047,1316.342806,940.1370799
01-01-2020 01:30,3896.637106,6630.831147,5787.390777,1217.355149,908.1049561
01-01-2020 02:00,3737.224492,6430.587953,5725.516947,1183.431396,894.9034342
01-01-2020 02:30,3646.487066,6253.451641,5708.070491,1135.217931,874.6023831
01-01-2020 03:00,3587.33849,6097.289802,5641.11558,1110.519806,866.6373193
01-01-2020 03:30,3488.333669,6069.276012,5571.804884,1110.984247,893.6338219
01-01-2020 04:00,3463.316512,6058.433392,5563.055965,1098.298033,898.4615516
01-01-2020 04:30,3431.04085,6009.569573,5562.425952,1095.106734,877.514238
01-01-2020 05:00,3419.148233,6000.971624,5474.998506,1084.696825,869.7624172
01-01-2020 05:30,3411.229907,6002.454283,5476.441506,1107.313869,882.412747
01-01-2020 06:00,3476.911764,6013.690838,5422.903291,1097.378262,877.8152009
01-01-2020 06:30,3473.23411,6046.145922,5361.258113,1049.013099,897.5174967
01-01-2020 07:00,3450.539076,6080.414743,5400.578723,1022.54767,861.9942537
01-01-2020 07:30,3412.252575,6196.749545,5433.228702,960.8731781,902.4866143
01-01-2020 08:00,3347.984364,6282.606691,5456.231606,897.506246,891.9490816
01-01-2020 08:30,3319.780688,6316.638466,5422.849605,827.830671,900.0434941
01-01-2020 09:00,3221.16368,6319.489457,5356.867831,726.6804451,898.4962564
01-01-2020 09:30,3196.972959,6385.476722,5396.388337,667.8249001,892.7136582
01-01-2020 10:00,3135.673122,6413.111048,5400.824382,577.0043785,893.0608224
01-01-2020 10:30,3100.172576,6461.233415,5444.032185,522.2880663,900.3865082
01-01-2020 11:00,3037.721182,6563.709153,5449.520305,498.9383313,903.2506794
01-01-2020 11:30,3043.682048,6654.277179,5538.126681,443.2023182,890.8525912
