SETTLEMENTDATE,TOTALDEMAND_VIC,TOTALDEMAND_NSW,TOTALDEMAND_QLD,TOTALDEMAND_SA,TOTALDEMAND_TAS
01-01-2020 00:30,4185.32,7134.15,6029.36,1419.45,1001.15
01-01-2020 01:00,4057.68,6886.14,5954.32,1361.94,997.86
01-01-2020 01:30,3954.85,6682.01,5888.68,1256.3,984.03
01-01-2020 02:00,3792.25,6452.46,5820.63,1202.3,975.72
01-01-2020 02:30,3689.33,6286.89,5750.66,1170.07,959.92
01-01-2020 03:00,3602.61,6163.74,5705.83,1151.99,939.18
01-01-2020 03:30,3550.62,6097.16,5662.17,1133.61,956.08
01-01-2020 04:00,3504.19,6064.02,5593.15,1125.55,964.86
01-01-2020 04:30,3491.36,6067.83,5580.14,1118.56,960.67
01-01-2020 05:00,3483.63,6037.57,5570.9,1120.8,942.15
01-01-2020 05:30,3497.77,6067.13,5549.25,1124.89,955.35
01-01-2020 06:00,3511.44,6069.47,5490.26,1119.88,950.53
01-01-2020 06:30,3540.62,6101.89,5478.27,1089.95,961.62
01-01-2020 07:00,3514.43,6125.52,5440.92,1049.18,944.24
01-01-2020 07:30,3423.34,6239.39,5502.83,991.23,961
01-01-2020 08:00,3396.71,6294.45,5531.49,927.15,965.52
01-01-2020 08:30,3357.29,6356.82,5511.21,848.82,962.11
01-01-2020 09:00,3301.41,6333.78,5468.43,761.16,961.35
01-01-2020 09:30,3245.13,6418.06,5436.93,686.57,967.71
01-01-2020 10:00,3169.12,6424.01,5447.44,623.05,977.83
01-01-2020 10:30,3146.34,6493.55,5501.28,559.1,976.51
01-01-2020 11:00,3095.2,6593.13,5542.52,534.18,972.44
01-01-2020 11:30,3069.29,6679.28,5593.34,494.12,960.63
01-01-2020 12:00,3060.58,6815,5655.97,468.22,942.23
01-01-2020 12:30,3068.81,6954.52,5742.94,458.89,929.48
01-01-2020 13:00,3085.47,7087.53,5885.97,475.46,922.06
01-01-2020 13:30,3131.31,7187.66,6006.93,486.47,920.43
01-01-2020 14:00,3187.66,7365.48,6168.56,489.6,938.21
01-01-2020 14:30,3273.67,7528.5,6314.93,513.62,959.43
01-01-2020 15:00,3381.79,7716.27,6569.26,565.77,962.22
01-01-2020 15:30,3565.42,7897.09,6771.49,615.46,962.29
01-01-2020 16:00,3775.71,8154.28,6991.68,682.56,968.63
01-01-2020 16:30,3980.79,8337.13,7236.14,789.69,1001.22
01-01-2020 17:00,4155.4,8492.82,7517.19,887.52,1032.96
01-01-2020 17:30,4306.64,8470.11,7701.29,998.28,1052.83
